"выручка";"прибыль";"реализация";"списание";"sd";"продажи.макс";"день.макс";"продажи.мин";"день.мин";"списание.макс";"день"
1e+06;-401400;246;121;7,81938981908801;28;1;8;6;19;1
888000;-377400;222;111;9,40617831407583;27;7;5;3;41;1
8e+05;-345900;201;101;6,65117247093287;26;4;6;6;38;3
736000;-306900;183;91;7,22100111777149;23;1;5;4;42;2
1096000;-459900;273;136;6,32078958298573;26;3;8;2;44;2
872000;-376500;219;110;4,75594865605671;22;7;8;5;33;5
856000;-352000;212;105;6,75066134326323;24;7;6;2;36;5
1016000;-420000;252;125;7,90418816047483;27;1;8;5;35;5
832000;-353600;208;104;4,98091596089753;22;1;9;4;38;2
1056000;-425200;260;128;5,39841246505462;26;3;10;1;35;1
9152000;-3818800;2276;1132;67,2086578906009;0;0;0;0;0;0
915200;-401400;227,6;113,2;6,72086578906009;0;0;0;0;0;0
