"выручка";"прибыль";"реализация";"списание";"sd";"продажи.макс";"день.макс";"продажи.мин";"день.мин";"списание.макс";"день"
920000;-396900;231;116;8,90425259556996;26;1;5;2;30;5
968000;-429100;245;124;5,96417878432803;26;7;12;5;41;1
888000;-383300;223;112;6,89029683512913;26;2;5;6;36;7
784000;-333200;196;98;7;27;1;6;2;46;2
920000;-396900;231;116;8,96022958889527;26;7;5;5;38;6
576000;-244800;144;72;4,64450520200253;18;4;6;2;41;7
992000;-421600;248;124;7,20449595077698;25;2;5;7;34;4
1080000;-447200;268;133;8,07701029082514;28;7;7;2;36;1
696000;-284000;172;85;6,80336051416609;25;3;5;7;39;2
1024000;-435200;256;128;6,94536501834822;28;5;9;7;28;6
8848000;-3772200;2214;1108;71,3936947800414;0;0;0;0;0;0
884800;-396900;221,4;110,8;7,13936947800414;0;0;0;0;0;0
