"выручка";"прибыль";"реализация";"списание";"sd";"продажи.макс";"день.макс";"продажи.мин";"день.мин";"списание.макс";"день"
808000;-331600;200;99;6,34710282614945;24;1;6;4;23;1
1088000;-462400;272;136;5,99603043290984;28;1;12;3;27;1
1e+06;-430900;251;126;6,98638131005772;24;3;8;1;25;3
840000;-380600;214;109;6,02771377334171;26;2;8;3;26;2
888000;-377400;222;111;8,55235974119758;26;2;5;3;26;2
888000;-389200;224;113;5,1455019654248;24;7;8;3;25;7
1048000;-445400;262;131;6,44759091222672;25;5;6;2;25;5
992000;-427500;249;125;5,12231346542705;24;1;12;2;24;1
944000;-383500;233;115;7,66873678056066;28;2;7;7;27;2
976000;-438400;248;126;5,88379534136323;24;6;10;4;25;6
9472000;-4066900;2375;1191;64,1775265486587;0;0;0;0;0;0
947200;-331600;237,5;119,1;6,41775265486587;0;0;0;0;0;0
